1	1	2	3
0	1	2	4
1	5	2	1
1	6	2	1
1	1	2	7
1	8	2	1
0	1	2	9
1	1	3	4
1	1	3	5
0	6	3	1
1	1	3	7
0	8	3	1
1	1	3	9
1	1	4	5
1	1	4	6
0	7	4	1
1	1	4	8
1	1	4	9
1	1	5	6
1	1	5	7
0	8	5	1
1	1	5	9
0	7	6	1
1	1	6	8
0	9	6	1
1	1	7	8
1	1	7	9
0	9	8	1
0	4	3	2
1	2	3	5
0	6	3	2
0	7	3	2
0	8	3	2
0	2	3	9
0	5	4	2
0	6	4	2
0	7	4	2
1	2	4	8
0	9	4	2
1	2	5	6
1	2	5	7
0	8	5	2
0	9	5	2
1	2	6	7
1	2	6	8
1	2	6	9
0	8	7	2
1	2	7	9
1	2	8	9
1	3	4	5
0	3	4	6
0	7	4	3
0	8	4	3
0	9	4	3
0	6	5	3
1	3	5	7
1	3	5	8
0	9	5	3
0	7	6	3
0	8	6	3
0	9	6	3
1	3	7	8
0	9	7	3
1	3	8	9
1	4	5	6
0	7	5	4
1	4	5	8
0	9	5	4
0	7	6	4
0	8	6	4
1	4	6	9
0	8	7	4
1	4	7	9
1	4	8	9
0	7	6	5
1	5	6	8
1	5	6	9
1	5	7	8
0	9	7	5
0	9	8	5
0	8	7	6
0	9	7	6
0	9	8	6
0	9	8	7]
